style,embedding_type,search_method,llm_name,question,true_answer,chatbot_answer,cosine_similarity,correctness_score,faithfulness_score,retriever_scores,precision,recall,f1,
neutral,emb1,approximate,gemini-1.5-flash,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. ,At Maccabi Mental Health Clinics.,1,0.666666667,0.690965579,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,approximate,gemini-1.5-flash,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment.",The cost varies depending on the medical institution.,0.773616146,0.257872049,0.706105583,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,approximate,gemini-1.5-flash,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.,A doctor's referral is necessary.,1,0.666666667,0.628516111,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,approximate,gemini-1.5-flash,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18",Children and youth members of Maccabi who are dialysis patients under 18 years old are eligible.,0.885274083,0.406202472,0.739675099,"{'precision': 0.8, 'recall': 1.0, 'f1': 0.88889}",0.8,1,0.88889,
neutral,emb1,approximate,gemini-1.5-flash,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. ","You can get the ""Pent-up"" vaccine at Maccabi milk drop stations.",0.833642536,0.444547512,0.823279293,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb1,approximate,gemini-1.5-flash,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon,I am unable to answer your question. The provided information does not list any clinics in Holon.,0.843655163,0.614551721,0.719920125,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
neutral,emb1,approximate,gemini-1.5-flash,What is the quarterly cost to visit a specialist?,Visit to a specialist - 36₪ quarterly deductible,The price varies depending on the medical institution.,0.828209344,0.276069781,0.725173854,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb1,approximate,gemini-1.5-flash,What is a “home visit”?,"Maccabi members are entitled to video medical advice -- a “home visit” by doctors and therapists via video, without having to go to the clinic.",A “home visit” is a video call with a doctor or therapist using a personal computer or smartphone.,0.811636346,0.270545449,0.730681316,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb1,approximate,gemini-1.5-flash,Can I come to a health institutions with a service animal?," In accordance with the Law on the Rights of Persons with Disabilities, there is an obligation on service providers in health institutions to allow a person with a disability to receive service while assisting a service animal. A service animal is any animal whose owner carries a certificate or marking attesting to being a “service animal”.","Yes, you can come to a health institution with a service animal.",0.872972236,0.624324079,0.762918696,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb1,approximate,gemini-1.5-flash,"I want to do clinical mammography, but I don't have any medical need. Where can I do it?","My Maccabi, gold and silver companies interested in examination without medical need - in Asuta salons only.",You can get a clinical mammogram at Asuta salons.,0.790139143,0.430046381,0.743234158,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
